Feature Set,Test Accuracy,Macro F1,GALAXY F1,QSO F1,STAR F1
Set C — Photometry only (no redshift),0.8772,0.8767,0.9192,0.8626,0.8484
Set D — Full features (with redshift),0.9788,0.9788,0.9684,0.9737,0.9943
